Start_EventRecordID,End_EventRecordID,User,Computer,Application,Executable_Path,Process_ID,Start_Time_IST,End_Time_IST,Duration_Seconds,Duration,Logon_ID,Parent_Process
2194463,2194470,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x299c,2026-08-24 14:22:48.839,2026-08-24 14:22:51.170,2.331,00:00:02.331,0x41f6e,C:\Windows\explorer.exe
2194488,2194494,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x1c90,2026-08-24 14:23:00.445,2026-08-24 14:23:02.000,1.556,00:00:01.556,0x41f6e,C:\Windows\explorer.exe
2201852,2201857,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x4790,2026-08-24 15:29:53.075,2026-08-24 15:29:55.470,2.395,00:00:02.395,0x41f6e,C:\Windows\explorer.exe
2202502,2202510,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x6dc,2026-08-24 15:35:52.155,2026-08-24 15:35:56.588,4.433,00:00:04.433,0x41f6e,C:\Windows\explorer.exe
2600665,2600682,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x42cc,2026-09-08 15:01:44.207,2026-09-08 15:01:49.188,4.981,00:00:04.981,0x435b7,C:\Windows\explorer.exe
2600742,2600751,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x10fc,2026-09-08 15:01:57.858,2026-09-08 15:02:00.602,2.744,00:00:02.744,0x435b7,C:\Windows\explorer.exe
2600784,2600808,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x3ccc,2026-09-08 15:02:05.435,2026-09-08 15:02:18.999,13.564,00:00:13.564,0x435b7,C:\Windows\explorer.exe
2605882,2605893,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0xce0,2026-09-08 15:31:16.695,2026-09-08 15:31:21.105,4.410,00:00:04.410,0x435b7,C:\Windows\explorer.exe
2606005,2606170,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x894,2026-09-08 15:31:44.154,2026-09-08 15:32:20.384,36.229,00:00:36.229,0x435b7,C:\Windows\explorer.exe
2609007,2609017,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x3f2c,2026-09-08 15:48:03.909,2026-09-08 15:48:07.631,3.722,00:00:03.722,0x435b7,C:\Windows\explorer.exe
2611275,2611285,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x4068,2026-09-08 15:58:46.104,2026-09-08 15:58:48.535,2.431,00:00:02.431,0x435b7,C:\Windows\explorer.exe
2639361,2639375,Pranit,DESKTOP-EQRIU2C,Notepad,C:\Windows\System32\notepad.exe,0x1b30,2026-09-10 10:58:50.858,2026-09-10 10:58:54.127,3.269,00:00:03.269,0x27862f,C:\Windows\explorer.exe
